,team,period,outcome,x0,y0,x1,y1,possession,id_match
30351,Egypt,2,Complete,12.0,22.0,20.0,16.0,128-Egypt,32
30352,Egypt,2,Complete,21.0,17.0,38.0,10.0,128-Egypt,32
30353,Egypt,2,Complete,38.0,8.0,48.0,3.0,128-Egypt,32
30354,Egypt,2,Complete,48.0,3.0,45.0,13.0,128-Egypt,32
30355,Egypt,2,Complete,52.0,30.0,31.0,47.0,128-Egypt,32
30356,Egypt,2,Complete,35.0,53.0,45.0,35.0,128-Egypt,32
30357,Egypt,2,Complete,47.0,38.0,49.0,70.0,128-Egypt,32
30358,Egypt,2,Complete,49.0,62.0,52.0,43.0,128-Egypt,32
30359,Egypt,2,Complete,54.0,42.0,86.0,78.0,128-Egypt,32
30360,Egypt,2,Complete,101.0,64.0,98.0,56.0,128-Egypt,32
30361,Egypt,2,Complete,98.0,56.0,96.0,49.0,128-Egypt,32
30362,Saudi Arabia,2,Complete,7.0,45.0,70.0,17.0,129-Saudi Arabia,32
30363,Saudi Arabia,2,Incomplete,70.0,16.0,95.0,13.0,129-Saudi Arabia,32
30364,Egypt,2,Incomplete,26.0,68.0,60.0,65.0,129-Egypt,32
30365,Saudi Arabia,2,Complete,61.0,16.0,65.0,18.0,129-Saudi Arabia,32
30366,Saudi Arabia,2,Complete,67.0,21.0,63.0,41.0,129-Saudi Arabia,32
30367,Saudi Arabia,2,Complete,64.0,47.0,64.0,70.0,129-Saudi Arabia,32
30368,Saudi Arabia,2,Complete,64.0,70.0,63.0,54.0,129-Saudi Arabia,32
30369,Saudi Arabia,2,Complete,59.0,57.0,51.0,66.0,129-Saudi Arabia,32
30370,Saudi Arabia,2,Complete,35.0,66.0,4.0,54.0,129-Saudi Arabia,32
30371,Saudi Arabia,2,Complete,35.0,61.0,30.0,62.0,130-Saudi Arabia,32
30372,Saudi Arabia,2,Complete,30.0,62.0,32.0,63.0,130-Saudi Arabia,32
30373,Saudi Arabia,2,Complete,38.0,65.0,37.0,78.0,130-Saudi Arabia,32
30374,Saudi Arabia,2,Complete,42.0,78.0,34.0,62.0,130-Saudi Arabia,32
30375,Saudi Arabia,2,Complete,36.0,66.0,58.0,76.0,130-Saudi Arabia,32
30376,Egypt,2,Complete,68.0,1.0,62.0,5.0,131-Egypt,32
30377,Egypt,2,Complete,58.0,6.0,46.0,6.0,131-Egypt,32
30378,Egypt,2,Complete,49.0,23.0,82.0,15.0,131-Egypt,32
30379,Egypt,2,Complete,71.0,7.0,62.0,10.0,131-Egypt,32
30380,Egypt,2,Complete,60.0,12.0,50.0,19.0,131-Egypt,32
30381,Egypt,2,Complete,49.0,30.0,76.0,78.0,131-Egypt,32
30382,Saudi Arabia,2,Complete,44.0,32.0,53.0,52.0,132-Saudi Arabia,32
30383,Saudi Arabia,2,Complete,61.0,59.0,75.0,60.0,132-Saudi Arabia,32
30384,Egypt,2,Complete,57.0,36.0,55.0,42.0,133-Egypt,32
30385,Egypt,2,Complete,55.0,47.0,47.0,58.0,133-Egypt,32
30386,Egypt,2,Incomplete,51.0,52.0,57.0,46.0,133-Egypt,32
30387,Egypt,2,Complete,6.0,47.0,18.0,12.0,136-Egypt,32
30388,Egypt,2,Complete,32.0,19.0,32.0,30.0,136-Egypt,32
30389,Egypt,2,Complete,37.0,46.0,31.0,52.0,136-Egypt,32
30390,Egypt,2,Complete,31.0,52.0,26.0,23.0,136-Egypt,32
30391,Egypt,2,Complete,25.0,22.0,74.0,56.0,136-Egypt,32
30392,Egypt,2,Complete,74.0,56.0,95.0,76.0,136-Egypt,32
30393,Egypt,2,Complete,96.0,60.0,102.0,55.0,136-Egypt,32
30394,Egypt,2,Complete,99.0,49.0,98.0,35.0,136-Egypt,32
30395,Egypt,2,Complete,98.0,35.0,109.0,15.0,136-Egypt,32
30396,Egypt,2,Incomplete,114.0,22.0,104.0,26.0,136-Egypt,32
30397,Egypt,2,Complete,98.0,11.0,106.0,13.0,136-Egypt,32
30398,Egypt,2,Unknown,107.0,19.0,100.0,22.0,136-Egypt,32
30399,Saudi Arabia,2,Complete,27.0,64.0,38.0,77.0,136-Saudi Arabia,32
30400,Saudi Arabia,2,Incomplete,44.0,78.0,71.0,73.0,136-Saudi Arabia,32
30401,Egypt,2,Complete,50.0,8.0,62.0,2.0,136-Egypt,32
30402,Egypt,2,Complete,66.0,2.0,62.0,5.0,136-Egypt,32
30403,Egypt,2,Complete,62.0,7.0,58.0,26.0,136-Egypt,32
30404,Egypt,2,Complete,59.0,27.0,54.0,54.0,136-Egypt,32
30405,Egypt,2,Complete,50.0,65.0,69.0,77.0,136-Egypt,32
30406,Egypt,2,Complete,78.0,59.0,72.0,47.0,136-Egypt,32
30407,Egypt,2,Complete,71.0,49.0,66.0,35.0,136-Egypt,32
