,team,period,id_match,possession,xg
1422,Colombia,1,55,75-Colombia,0.020824121
1423,England,1,55,80-England,0.033690855
1424,England,2,55,96-England,0.76
1425,Colombia,2,55,98-Colombia,0.015907139
1426,England,2,55,104-England,0.08432072
1427,England,2,55,120-England,0.028827554000000002
1428,Colombia,2,55,135-Colombia,0.095188744
1429,England,2,55,139-England,0.043845966
1430,Colombia,2,55,141-Colombia,0.053967193000000004
1431,Colombia,2,55,141-Colombia,0.0721483
1432,Colombia,2,55,143-Colombia,0.021264764000000002
1433,Colombia,2,55,151-Colombia,0.0071813106
1434,Colombia,2,55,152-Colombia,0.09781332
1435,Colombia,3,55,173-Colombia,0.03384735
1436,Colombia,3,55,174-Colombia,0.029281767
1437,Colombia,3,55,177-Colombia,0.054241486000000005
1438,England,4,55,184-England,0.025375264
1439,England,4,55,188-England,0.03604893
1440,England,4,55,201-England,0.034295984
1441,England,4,55,204-England,0.08100919
1442,England,4,55,212-England,0.024530618
1443,Colombia,5,55,216-Colombia,0.76
1444,England,5,55,217-England,0.76
1445,Colombia,5,55,218-Colombia,0.76
1446,England,5,55,219-England,0.76
1447,Colombia,5,55,220-Colombia,0.76
1448,England,5,55,221-England,0.76
1449,Colombia,5,55,223-Colombia,0.76
1450,England,5,55,224-England,0.76
1451,Colombia,5,55,225-Colombia,0.76
1452,England,5,55,227-England,0.76
1453,Switzerland,1,56,3-Switzerland,0.016436616
1454,Switzerland,1,56,14-Switzerland,0.021616297000000003
1455,Sweden,1,56,16-Sweden,0.041027226
1456,Sweden,1,56,18-Sweden,0.22827044
1457,Sweden,1,56,18-Sweden,0.07136759
1458,Sweden,1,56,27-Sweden,0.015247153000000001
1459,Switzerland,1,56,45-Switzerland,0.032466087000000005
1460,Sweden,1,56,50-Sweden,0.049071766
1461,Switzerland,1,56,58-Switzerland,0.009175538
1462,Switzerland,1,56,62-Switzerland,0.019652449000000002
1463,Switzerland,1,56,68-Switzerland,0.053666780000000004
1464,Sweden,1,56,70-Sweden,0.024272755
1465,Sweden,1,56,71-Sweden,0.14879996
1466,Sweden,2,56,84-Sweden,0.1502
1467,Switzerland,2,56,90-Switzerland,0.014341364
1468,Sweden,2,56,109-Sweden,0.040793784
1469,Sweden,2,56,115-Sweden,0.08307577000000001
1470,Sweden,2,56,121-Sweden,0.022122003
